,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
198318,BTC,1,Bitcoin,"$71,270,627,844 ",$4313.08,"16,524,300","$2,054,220,000",-0.41%,3.44%,-0.12%,r_20170825-065005
199386,BTC,1,Bitcoin,"$74,728,790,440 ",$4517.30,"16,542,800","$1,782,780,000",-0.22%,-3.24%,5.18%,r_20170904-071006
200453,BTC,1,Bitcoin,"$67,968,285,635 ",$4114.11,"16,520,775","$3,488,130,000",0.66%,5.49%,-0.34%,r_20170823-015005
201497,BTC,1,Bitcoin,"$55,960,565,224 ",$3392.85,"16,493,675","$1,280,170,000",1.30%,5.91%,21.73%,r_20170807-130505
202540,BTC,1,Bitcoin,"$77,918,673,896 ",$4712.12,"16,535,800","$1,932,920,000",0.37%,3.62%,9.98%,r_20170831-212505
203590,BTC,1,Bitcoin,"$46,228,287,361 ",$2803.93,"16,486,962","$874,390,000",0.12%,2.48%,2.47%,r_20170804-070005
204617,BTC,1,Bitcoin,"$62,611,879,260 ",$3794.03,"16,502,737","$2,056,310,000",0.63%,7.53%,18.35%,r_20170812-150005
205657,BTC,1,Bitcoin,"$67,423,733,353 ",$4082.35,"16,515,912","$3,411,030,000",0.03%,-4.00%,6.70%,r_20170819-162505
206712,BTC,1,Bitcoin,"$71,969,228,352 ",$4354.56,"16,527,325","$1,490,160,000",0.23%,0.63%,5.50%,r_20170827-110505
207770,BTC,1,Bitcoin,"$71,881,978,846 ",$4350.12,"16,524,137","$2,025,290,000",-0.17%,4.71%,0.75%,r_20170825-041005
208839,BTC,1,Bitcoin,"$77,555,835,137 ",$4688.82,"16,540,587","$2,506,400,000",0.71%,-1.62%,7.62%,r_20170903-052005
209897,BTC,1,Bitcoin,"$52,947,169,081 ",$3210.51,"16,491,825","$1,272,800,000",0.17%,1.11%,18.88%,r_20170806-135506
210918,BTC,1,Bitcoin,"$52,565,235,062 ",$3187.38,"16,491,675","$1,289,700,000",-0.06%,0.67%,18.54%,r_20170806-120006
211959,BTC,1,Bitcoin,"$74,472,902,835 ",$4502.73,"16,539,500","$2,927,840,000",-2.25%,-6.21%,4.36%,r_20170902-152506
213036,BTC,1,Bitcoin,"$72,357,644,274 ",$4377.80,"16,528,312","$1,519,560,000",0.62%,0.82%,6.44%,r_20170827-225505
214109,BTC,1,Bitcoin,"$77,705,801,020 ",$4698.27,"16,539,237","$3,040,840,000",1.01%,-1.77%,8.74%,r_20170902-112506
215189,BTC,1,Bitcoin,"$70,532,623,192 ",$4262.83,"16,545,962","$2,865,920,000",0.01%,1.48%,-5.86%,r_20170905-164505
216254,BTC,1,Bitcoin,"$56,393,714,696 ",$3417.92,"16,499,425","$1,343,940,000",0.58%,4.16%,24.09%,r_20170810-151505
217306,BTC,1,Bitcoin,"$80,412,528,011 ",$4862.34,"16,537,825","$2,486,640,000",-0.15%,3.34%,10.93%,r_20170901-212005
218368,BTC,1,Bitcoin,"$55,643,800,157 ",$3373.43,"16,494,725","$1,443,940,000",0.54%,5.20%,17.35%,r_20170808-014505
219400,BTC,1,Bitcoin,"$63,436,531,279 ",$3840.01,"16,519,887","$3,416,170,000",-0.05%,-5.13%,-10.26%,r_20170822-080005
220454,BTC,1,Bitcoin,"$66,615,330,788 ",$4035.04,"16,509,212","$2,851,850,000",-1.67%,-8.05%,19.15%,r_20170816-052505
221493,BTC,1,Bitcoin,"$56,429,816,526 ",$3421.01,"16,495,075","$1,636,550,000",-0.70%,5.71%,20.10%,r_20170808-062005
222522,BTC,1,Bitcoin,"$71,179,360,287 ",$4311.03,"16,510,987","$2,202,740,000",0.62%,6.08%,28.31%,r_20170817-051005
223580,BTC,1,Bitcoin,"$78,270,806,735 ",$4733.24,"16,536,412","$1,959,700,000",-0.02%,2.73%,8.98%,r_20170901-040005
224658,BTC,1,Bitcoin,"$75,355,369,589 ",$4558.39,"16,531,137","$2,329,550,000",0.70%,5.50%,14.72%,r_20170829-145505
225731,BTC,1,Bitcoin,"$70,077,412,041 ",$4239.69,"16,528,900","$1,601,640,000",-0.35%,-2.75%,4.04%,r_20170828-054006
226789,BTC,1,Bitcoin,"$64,288,549,207 ",$3895.60,"16,502,862","$2,131,360,000",1.36%,10.90%,21.27%,r_20170812-164506
227841,BTC,1,Bitcoin,"$80,338,306,757 ",$4857.83,"16,537,900","$2,498,950,000",-0.46%,3.25%,10.89%,r_20170901-213505
228907,BTC,1,Bitcoin,"$61,712,941,645 ",$3739.64,"16,502,375","$2,159,490,000",-0.22%,7.37%,18.52%,r_20170812-093505
229937,BTC,1,Bitcoin,"$55,525,179,370 ",$3366.43,"16,493,787","$1,327,900,000",-0.53%,4.46%,20.45%,r_20170807-142005
230970,BTC,1,Bitcoin,"$68,200,447,949 ",$4129.15,"16,516,825","$2,860,830,000",0.44%,-0.02%,1.85%,r_20170820-050005
232021,BTC,1,Bitcoin,"$68,213,916,939 ",$4130.10,"16,516,287","$3,124,530,000",0.37%,0.89%,5.55%,r_20170819-215505
233075,BTC,1,Bitcoin,"$67,519,349,608 ",$4089.82,"16,509,125","$2,936,240,000",-0.66%,-7.27%,20.44%,r_20170816-043506
