,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
49,TP1,1016,KolschCoin,? ,$0.024731,?,Low Vol,?,?,-25.39%,r_20170804-070005
50,SNT,32,Status,"$197,335,526 ",$0.056861,"3,470,483,788",*,"$19,019,000",-0.71%,5.46%,r_20170804-070005
51,PAC,853,Paccoin,? ,$1.4e-07,?,"$2,026",-1.37%,-14.28%,-2.18%,r_20170804-070005
52,MAD,646,SatoshiMadness,"$55,791 ",$0.000028,"2,000,683,485",*,Low Vol,0.23%,2.66%,r_20170804-070005
53,LAZ,884,Lazaruscoin,? ,$0.000836,?,*,Low Vol,11.32%,39.85%,r_20170804-070005
54,AXF,816,AxFunds,? ,$0.083078,?,"$63,695",1.28%,11.49%,3.00%,r_20170804-070005
55,FFC,854,FireFlyCoin,? ,$0.000139,?,"$1,776",0.25%,-14.32%,8.45%,r_20170804-070005
56,GAIN,1025,UGAIN,? ,$0.000332,?,Low Vol,?,3.90%,-9.34%,r_20170804-070005
57,GUC,904,GoldUnionCoin,? ,$1.98,?,*,Low Vol,0.19%,-35.77%,r_20170804-070005
58,MGM,794,Magnum,"$1,119 ",$0.000298,"3,748,685",Low Vol,?,?,-84.95%,r_20170804-070005
59,CNNC,619,Cannation,"$69,897 ",$0.028220,"2,476,893",Low Vol,50.90%,-7.45%,-20.91%,r_20170804-070005
60,EVO,441,Evotion,"$66,763 ",$0.027038,"2,469,220","$2,038",-21.39%,-27.62%,-16.60%,r_20170804-070005
61,DTB,132,Databits,"$14,070,907 ",$0.618561,"22,747,809",*,"$57,102",-1.67%,9.54%,r_20170804-070005
62,CME,1008,Cashme,? ,$0.000027,?,**,Low Vol,?,0.67%,r_20170804-070005
63,TSE,534,Tattoocoin (S...,"$209,216 ",$0.002314,"90,421,856",*,Low Vol,-0.88%,13.88%,r_20170804-070005
64,GUN,586,Guncoin,"$99,138 ",$0.000529,"187,346,878",Low Vol,0.25%,19.15%,-7.98%,r_20170804-070005
65,GUP,159,Matchpool,"$10,205,025 ",$0.136067,"75,000,000",*,"$127,519",0.35%,12.77%,r_20170804-070005
66,PCN,913,PeepCoin,? ,$3.8e-07,?,*,Low Vol,0.44%,-60.68%,r_20170804-070005
67,TYCHO,841,Tychocoin,? ,$0.150151,?,"$6,705",17.09%,19.02%,11.29%,r_20170804-070005
68,KLC,628,KiloCoin,"$65,539 ",$0.000334,"196,297,971",Low Vol,?,2.43%,-17.37%,r_20170804-070005
69,CARBON,499,Carboncoin,"$428,780 ",$0.000028,"15,391,975,099",Low Vol,0.19%,-48.72%,-43.62%,r_20170804-070005
70,YBC,115,YbCoin,"$17,292,255 ",$5.73,"3,020,471",*,"$391,340",-0.19%,4.03%,r_20170804-070005
71,XBG,889,BTCGold,? ,$0.002340,?,Low Vol,0.19%,-69.64%,-92.53%,r_20170804-070005
72,BET,948,BetaCoin,? ,$0.001105,?,Low Vol,0.25%,-77.00%,?,r_20170804-070005
73,CMP,63,Compcoin,"$50,309,866 ",$13.91,"3,615,825","$19,333",0.28%,?,?,r_20170804-070005
74,HUC,295,HunterCoin,"$1,775,787 ",$0.095690,"18,557,710","$34,278",0.49%,-0.10%,10.64%,r_20170804-070005
75,PEPE,324,PepeCoin,"$1,221,778 ",$0.086441,"14,134,321","$23,861",0.11%,-1.54%,-13.88%,r_20170804-070005
76,LSK,26,Lisk,"$227,950,461 ",$2.06,"110,466,805",*,"$3,618,820",0.41%,1.17%,r_20170804-070005
77,VGC,953,VegasCoin,? ,$0.000223,?,Low Vol,0.19%,8.85%,-1.42%,r_20170804-070005
78,XBTS,752,Beatcoin,"$13,508 ",$0.008859,"1,524,686",Low Vol,?,-29.93%,-43.40%,r_20170804-070005
79,TTC,431,TittieCoin,"$105,386 ",$0.000084,"1,259,816,434","$1,103",0.25%,2.79%,-21.65%,r_20170804-070005
80,REP,33,Augur,"$193,933,300 ",$17.63,"11,000,000",*,"$2,863,970",0.11%,1.96%,r_20170804-070005
81,SPORT,959,SportsCoin,? ,$0.000891,?,*,Low Vol,0.19%,-17.95%,r_20170804-070005
82,VLT,563,Veltor,"$132,944 ",$0.239601,"554,855",Low Vol,0.25%,3.08%,-20.93%,r_20170804-070005
83,GRT,599,Grantcoin,"$89,653 ",$0.002138,"41,942,820",*,Low Vol,0.13%,256.25%,r_20170804-070005
84,GRS,186,Groestlcoin,"$7,817,994 ",$0.114819,"68,089,720","$218,933",-1.06%,-3.56%,-19.65%,r_20170804-070005
85,BLZ,721,BlazeCoin,"$21,504 ",$0.000035,"608,557,394",Low Vol,-1.43%,1.95%,-26.75%,r_20170804-070005
86,BLU,493,BlueCoin,"$482,103 ",$0.000839,"574,683,675",Low Vol,0.12%,-4.50%,-23.32%,r_20170804-070005
87,PEPECASH,191,Pepe Cash,"$7,424,950 ",$0.010579,"701,884,009",*,"$2,646",0.25%,-1.15%,r_20170804-070005
88,1337,311,1337,"$1,543,524 ",$0.000066,"23,270,094,176",*,"$3,341",-14.25%,-13.96%,r_20170804-070005
89,MARS,653,Marscoin,"$45,691 ",$0.001616,"28,279,074",Low Vol,0.19%,4.84%,-17.71%,r_20170804-070005
90,DOLLAR,751,Dollar Online,"$13,693 ",$0.018442,"742,531",Low Vol,0.25%,-4.37%,-40.71%,r_20170804-070005
91,FLAX,635,Flaxscript,"$61,456 ",$0.011076,"5,548,466",Low Vol,0.26%,-30.57%,-31.28%,r_20170804-070005
92,GBRC,942,Global Busine...,? ,$0.000056,?,Low Vol,0.13%,2.56%,-6.79%,r_20170804-070005
93,SC,23,Siacoin,"$259,908,078 ",$0.009183,"28,302,191,115","$7,107,050",-0.37%,6.73%,13.39%,r_20170804-070005
94,FTC,167,Feathercoin,"$9,489,529 ",$0.055843,"169,932,600","$1,233,580",0.81%,9.27%,3.84%,r_20170804-070005
95,GRE,476,Greencoin,"$1,199,845 ",$0.000371,"3,238,440,641",*,Low Vol,0.25%,60.23%,r_20170804-070005
96,GRC,134,GridCoin,"$13,984,672 ",$0.035829,"390,312,753","$151,648",0.26%,10.11%,9.28%,r_20170804-070005
97,BLK,102,BlackCoin,"$20,649,533 ",$0.270670,"76,290,439",*,"$650,600",-0.11%,7.22%,r_20170804-070005
