,symbol,ranking by market cap,name,market cap,price,circulating supply,volume,% 1h,% 24h,% 1wk,file_name
539055,BTC,1,Bitcoin,"$53,252,058,144 ",$3228.76,"16,493,037","$1,026,980,000",-0.27%,0.68%,17.63%,r_20170807-051005
540081,BTC,1,Bitcoin,"$56,884,371,956 ",$3448.52,"16,495,300","$1,666,960,000",0.82%,6.40%,21.55%,r_20170808-073505
541102,BTC,1,Bitcoin,"$52,175,606,793 ",$3164.09,"16,489,925","$1,641,260,000",-0.06%,10.86%,15.94%,r_20170805-133505
542125,BTC,1,Bitcoin,"$56,039,675,245 ",$3396.99,"16,496,862","$1,737,580,000",-0.29%,-0.92%,25.27%,r_20170809-041505
543153,BTC,1,Bitcoin,"$52,903,054,702 ",$3207.93,"16,491,337","$1,496,810,000",0.47%,2.47%,19.40%,r_20170806-070005
544172,BTC,1,Bitcoin,"$52,649,221,290 ",$3192.48,"16,491,637","$1,327,440,000",-0.37%,0.55%,18.78%,r_20170806-110505
545193,BTC,1,Bitcoin,"$53,650,197,168 ",$3253.42,"16,490,400","$1,825,930,000",-0.49%,13.59%,19.54%,r_20170805-184005
546216,BTC,1,Bitcoin,"$56,956,480,714 ",$3452.80,"16,495,737","$1,696,430,000",0.58%,3.45%,24.52%,r_20170808-121005
547234,BTC,1,Bitcoin,"$47,460,348,188 ",$2878.50,"16,487,875","$1,046,920,000",0.35%,4.22%,3.14%,r_20170804-160005
548248,BTC,1,Bitcoin,"$53,897,255,545 ",$3268.07,"16,492,075","$1,223,350,000",-0.12%,0.45%,19.92%,r_20170806-175006
549270,BTC,1,Bitcoin,"$56,434,612,025 ",$3421.00,"16,496,525","$1,766,880,000",0.12%,1.91%,25.68%,r_20170808-223005
550296,BTC,1,Bitcoin,"$53,775,854,016 ",$3261.04,"16,490,400","$1,828,690,000",0.02%,13.82%,19.83%,r_20170805-183006
551319,BTC,1,Bitcoin,"$57,013,885,878 ",$3456.28,"16,495,737","$1,695,050,000",0.59%,3.46%,24.70%,r_20170808-121506
552338,BTC,1,Bitcoin,"$47,778,151,781 ",$2897.63,"16,488,700","$981,720,000",0.75%,4.03%,4.04%,r_20170805-001005
553357,BTC,1,Bitcoin,"$52,873,442,880 ",$3205.85,"16,492,800","$1,053,110,000",0.28%,-1.21%,16.96%,r_20170807-024005
554382,BTC,1,Bitcoin,"$55,645,176,181 ",$3373.24,"16,496,062","$1,678,840,000",-0.52%,0.17%,22.95%,r_20170808-145506
555405,BTC,1,Bitcoin,"$52,103,171,946 ",$3159.81,"16,489,337","$1,600,710,000",1.19%,12.76%,15.03%,r_20170805-071005
556425,BTC,1,Bitcoin,"$56,742,834,230 ",$3440.01,"16,494,962","$1,610,270,000",0.20%,6.36%,20.60%,r_20170808-052005
557449,BTC,1,Bitcoin,"$55,359,537,769 ",$3355.66,"16,497,362","$1,628,930,000",-0.84%,-2.84%,23.79%,r_20170809-101005
558479,BTC,1,Bitcoin,"$52,501,099,345 ",$3183.87,"16,489,712","$1,679,320,000",0.01%,11.26%,16.48%,r_20170805-110506
559501,BTC,1,Bitcoin,"$56,201,913,823 ",$3406.84,"16,496,787","$1,761,550,000",0.80%,-0.06%,25.51%,r_20170809-031005
560527,BTC,1,Bitcoin,"$47,557,207,055 ",$2884.25,"16,488,587","$999,923,000",0.66%,3.85%,3.47%,r_20170804-232005
561548,BTC,1,Bitcoin,"$51,583,555,398 ",$3128.30,"16,489,325","$1,571,370,000",0.04%,11.75%,13.81%,r_20170805-065505
562564,BTC,1,Bitcoin,"$53,171,682,582 ",$3223.96,"16,492,662","$1,078,930,000",-0.32%,-1.28%,17.73%,r_20170807-003005
563589,BTC,1,Bitcoin,"$56,067,184,651 ",$3398.83,"16,496,025","$1,676,390,000",-0.73%,0.79%,23.74%,r_20170808-142506
564613,BTC,1,Bitcoin,"$54,472,805,041 ",$3301.87,"16,497,562","$1,686,450,000",-0.08%,-3.96%,21.90%,r_20170809-123006
565644,BTC,1,Bitcoin,"$55,079,505,533 ",$3339.27,"16,494,475","$1,449,810,000",0.00%,2.79%,17.19%,r_20170807-221506
566667,BTC,1,Bitcoin,"$53,795,351,835 ",$3262.22,"16,490,412","$1,841,380,000",-0.51%,13.93%,19.86%,r_20170805-190005
567688,BTC,1,Bitcoin,"$55,238,595,995 ",$3348.91,"16,494,500","$1,451,470,000",0.38%,3.23%,17.47%,r_20170807-223005
568709,BTC,1,Bitcoin,"$53,626,334,448 ",$3251.66,"16,491,987","$1,270,850,000",0.21%,1.06%,19.71%,r_20170806-163005
569729,BTC,1,Bitcoin,"$53,491,193,126 ",$3243.35,"16,492,575","$1,111,470,000",-0.18%,-0.05%,18.47%,r_20170806-231005
570752,BTC,1,Bitcoin,"$54,011,431,782 ",$3274.73,"16,493,400","$1,060,170,000",0.79%,2.74%,18.35%,r_20170807-094505
571775,BTC,1,Bitcoin,"$56,384,872,035 ",$3417.99,"16,496,500","$1,760,840,000",-0.40%,1.96%,25.59%,r_20170808-221005
572798,BTC,1,Bitcoin,"$53,072,342,033 ",$3218.10,"16,491,825","$1,276,610,000",0.48%,1.30%,19.04%,r_20170806-142005
573822,BTC,1,Bitcoin,"$51,712,501,919 ",$3136.12,"16,489,325","$1,571,060,000",0.29%,12.06%,14.07%,r_20170805-065006
574838,BTC,1,Bitcoin,"$53,412,339,830 ",$3238.92,"16,490,787","$1,919,590,000",0.91%,12.96%,19.02%,r_20170805-223506
575864,BTC,1,Bitcoin,"$56,854,766,056 ",$3446.66,"16,495,612","$1,721,670,000",-0.64%,5.08%,23.19%,r_20170808-103006
576882,BTC,1,Bitcoin,"$47,418,054,893 ",$2875.90,"16,488,075","$1,038,670,000",0.43%,5.19%,2.72%,r_20170804-181505
577898,BTC,1,Bitcoin,"$51,322,709,410 ",$3112.54,"16,489,012","$1,375,900,000",3.92%,12.55%,12.23%,r_20170805-041506
578919,BTC,1,Bitcoin,"$56,543,986,184 ",$3427.76,"16,495,900","$1,644,540,000",-0.86%,1.77%,24.37%,r_20170808-132505
579941,BTC,1,Bitcoin,"$52,576,872,309 ",$3188.47,"16,489,687","$1,679,460,000",0.06%,11.43%,16.65%,r_20170805-110005
580960,BTC,1,Bitcoin,"$55,811,792,275 ",$3383.83,"16,493,675","$1,292,840,000",0.96%,5.60%,21.36%,r_20170807-131505
581982,BTC,1,Bitcoin,"$53,896,131,315 ",$3268.20,"16,491,075","$1,962,400,000",-0.14%,11.70%,20.73%,r_20170806-020505
583001,BTC,1,Bitcoin,"$53,558,569,125 ",$3247.45,"16,492,500","$1,118,860,000",-0.01%,0.37%,18.60%,r_20170806-223505
584022,BTC,1,Bitcoin,"$53,791,232,841 ",$3261.99,"16,490,312","$1,768,320,000",2.16%,13.57%,19.93%,r_20170805-173005
585040,BTC,1,Bitcoin,"$52,449,922,805 ",$3180.40,"16,491,612","$1,327,680,000",-0.75%,0.13%,18.34%,r_20170806-105505
586060,BTC,1,Bitcoin,"$47,109,915,747 ",$2857.14,"16,488,487","$1,000,790,000",0.25%,3.01%,2.24%,r_20170804-215005
587073,BTC,1,Bitcoin,"$47,318,635,816 ",$2869.99,"16,487,387","$969,668,000",0.73%,4.16%,3.74%,r_20170804-111505
588093,BTC,1,Bitcoin,"$47,143,365,449 ",$2859.16,"16,488,537","$1,001,740,000",0.30%,3.16%,2.34%,r_20170804-221506
589114,BTC,1,Bitcoin,"$52,234,085,284 ",$3167.79,"16,489,125","$1,495,280,000",1.75%,14.21%,14.52%,r_20170805-045505
590129,BTC,1,Bitcoin,"$53,026,547,156 ",$3215.16,"16,492,662","$1,079,300,000",-0.75%,-1.49%,17.41%,r_20170807-002006
591148,BTC,1,Bitcoin,"$47,080,625,477 ",$2855.37,"16,488,450","$1,005,360,000",0.17%,3.06%,2.19%,r_20170804-212505
592166,BTC,1,Bitcoin,"$53,928,170,342 ",$3269.89,"16,492,350","$1,144,360,000",0.16%,0.83%,19.39%,r_20170806-204006
593192,BTC,1,Bitcoin,"$56,647,284,984 ",$3434.03,"16,495,862","$1,653,100,000",-0.54%,1.99%,24.40%,r_20170808-130505
